起始城市,起始城市缩写,到达城市,到达城市缩写,公司,航班号,起飞机场,到达机场,起飞时间,起飞时间戳,到达时间,到达时间戳,机型,起飞日期,到达日期,价格,最大折扣,满载,当前人数
广州,CAN,海口,HAK,中国南方航空(集团)公司,CZ6788,新白云国际机场,美兰机场,20:00,201712192000,21:00,201712192100,321,2017/12/19,2017/12/19,3442,0.2,220,216
广州,CAN,海口,HAK,中国南方航空(集团)公司,CZ6792,新白云国际机场,美兰机场,21:25,201712032125,22:25,201712032225,733,2017/12/03,2017/12/03,1757,0.3,150,145
广州,CAN,海口,HAK,中国南方航空(集团)公司,CZ6780,新白云国际机场,美兰机场,23:50,201712202350,0:50,201712210050,733,2017/12/20,2017/12/21,3117,0.3,270,263
广州,CAN,杭州,HGH,中国国际航空公司,CA1353,新白云国际机场,萧山国际机场,8:05,201711090805,9:55,201711090955,738,2017/11/09,2017/11/09,2356,0.5,160,150
广州,CAN,杭州,HGH,中国南方航空(集团)公司,CZ3521,新白云国际机场,萧山国际机场,8:30,201711280830,10:15,201711281015,JET,2017/11/28,2017/11/28,2991,0.5,170,164
广州,CAN,杭州,HGH,中国南方航空(集团)公司,CZ3803,新白云国际机场,萧山国际机场,9:45,201712200945,11:40,201712201140,321,2017/12/20,2017/12/20,1451,0.2,220,210
广州,CAN,杭州,HGH,中国国际航空公司,CA1720,新白云国际机场,萧山国际机场,10:40,201712261040,12:35,201712261235,319,2017/12/26,2017/12/26,2880,0,250,243
广州,CAN,杭州,HGH,中国国际航空公司,CA1728,新白云国际机场,萧山国际机场,12:10,201712221210,13:55,201712221355,JET,2017/12/22,2017/12/22,2271,0.5,100,93
广州,CAN,杭州,HGH,中国南方航空(集团)公司,CZ3511,新白云国际机场,萧山国际机场,12:55,201711041255,14:50,201711041450,321,2017/11/04,2017/11/04,2762,0,240,235
广州,CAN,杭州,HGH,中国南方航空(集团)公司,CZ6342,新白云国际机场,萧山国际机场,14:50,201712141450,16:40,201712141640,JET,2017/12/14,2017/12/14,2254,0.3,180,173
广州,CAN,杭州,HGH,中国南方航空(集团)公司,CZ3501,新白云国际机场,萧山国际机场,16:05,201711041605,17:50,201711041750,JET,2017/11/04,2017/11/04,1807,0.24,260,251
广州,CAN,杭州,HGH,中国南方航空(集团)公司,CZ6230,新白云国际机场,萧山国际机场,16:25,201711101625,18:20,201711101820,319,2017/11/10,2017/11/10,2201,0,120,116
广州,CAN,杭州,HGH,中国国际航空公司,CA1726,新白云国际机场,萧山国际机场,18:20,201712221820,20:00,201712222000,320,2017/12/22,2017/12/22,2042,0.2,180,176
广州,CAN,杭州,HGH,中国南方航空(集团)公司,CZ3801,新白云国际机场,萧山国际机场,19:00,201711171900,20:45,201711172045,JET,2017/11/17,2017/11/17,1545,0.5,200,193
广州,CAN,杭州,HGH,中国南方航空(集团)公司,CZ3819,新白云国际机场,萧山国际机场,20:05,201712042005,22:05,201712042205,757,2017/12/04,2017/12/04,1934,0.2,240,230
广州,CAN,杭州,HGH,中国国际航空公司,CA1724,新白云国际机场,萧山国际机场,22:05,201711242205,23:50,201711242350,319,2017/11/24,2017/11/24,2973,0.4,280,276
广州,CAN,合肥,HFE,中国南方航空(集团)公司,CZ3813,新白云国际机场,骆岗机场,8:35,201712150835,10:25,201712151025,JET,2017/12/15,2017/12/15,2330,0.15,110,105
广州,CAN,合肥,HFE,中国南方航空(集团)公司,CZ3817,新白云国际机场,骆岗机场,16:05,201711081605,17:50,201711081750,320,2017/11/08,2017/11/08,3584,0.38,210,205
广州,CAN,贺州,HZH,中国南方航空(集团)公司,CZ6921,新白云国际机场,黎平机场,11:15,201711011115,12:25,201711011225,ERJ,2017/11/01,2017/11/01,1731,0.48,160,150
广州,CAN,呼和浩特,HET,中国国际航空公司,CA1382,新白云国际机场,白塔机场,11:40,201712191140,15:05,201712191505,733,2017/12/19,2017/12/19,2280,0.2,150,147
广州,CAN,怀化,HJJ,中国南方航空(集团)公司,CZ3165,新白云国际机场,怀化芷江机场,15:15,201711291515,17:55,201711291755,319,2017/11/29,2017/11/29,3188,0.2,130,120
广州,CAN,黄山,TXN,中国南方航空(集团)公司,CZ3627,新白云国际机场,屯溪机场,18:30,201712051830,20:00,201712052000,320,2017/12/05,2017/12/05,2105,0.5,120,114
广州,CAN,济南,TNA,中国南方航空(集团)公司,CZ3509,新白云国际机场,遥墙机场,8:20,201712120820,10:35,201712121035,JET,2017/12/12,2017/12/12,2136,0.3,170,163
广州,CAN,济南,TNA,中国国际航空公司,CA1176,新白云国际机场,遥墙机场,12:15,201711101215,14:40,201711101440,733,2017/11/10,2017/11/10,2843,0.4,300,296
广州,CAN,济南,TNA,中国南方航空(集团)公司,CZ3707,新白云国际机场,遥墙机场,16:30,201712011630,19:00,201712011900,73G,2017/12/01,2017/12/01,3098,0.4,130,122
广州,CAN,济南,TNA,中国国际航空公司,CA1172,新白云国际机场,遥墙机场,20:20,201711272020,22:50,201711272250,733,2017/11/27,2017/11/27,1645,0.17,230,225
广州,CAN,济宁,JNG,中国南方航空(集团)公司,CZ3519,新白云国际机场,济宁曲阜机场,9:40,201712040940,11:50,201712041150,738,2017/12/04,2017/12/04,2242,0.2,120,115
广州,CAN,佳木斯,JMU,中国南方航空(集团)公司,CZ3609,新白云国际机场,东郊机场,9:30,201711270930,15:40,201711271540,733,2017/11/27,2017/11/27,2586,0.3,150,140
广州,CAN,九寨沟,JZH,中国南方航空(集团)公司,CZ3949,新白云国际机场,九黄机场,9:00,201712260900,13:00,201712261300,319,2017/12/26,2017/12/26,2969,0.48,210,205
广州,CAN,九寨沟,JZH,中国南方航空(集团)公司,CZ3401,新白云国际机场,九黄机场,10:00,201712141000,13:50,201712141350,319,2017/12/14,2017/12/14,2380,0.1,260,254
广州,CAN,昆明,KMG,中国南方航空(集团)公司,CZ3481,新白云国际机场,巫家坝国际机场,7:40,201711250740,9:50,201711250950,319,2017/11/25,2017/11/25,3370,0,150,144
广州,CAN,昆明,KMG,中国南方航空(集团)公司,CZ3477,新白云国际机场,巫家坝国际机场,7:40,201712280740,9:50,201712280950,319,2017/12/28,2017/12/28,2080,0.3,250,240
广州,CAN,昆明,KMG,中国南方航空(集团)公司,CZ3409,新白云国际机场,巫家坝国际机场,9:35,201711260935,11:55,201711261155,73G,2017/11/26,2017/11/26,2635,0.1,150,144
广州,CAN,昆明,KMG,中国南方航空(集团)公司,CZ3487,新白云国际机场,巫家坝国际机场,11:55,201711221155,13:50,201711221350,733,2017/11/22,2017/11/22,1681,0.4,170,161
广州,CAN,昆明,KMG,中国南方航空(集团)公司,CZ3407,新白云国际机场,巫家坝国际机场,13:40,201711171340,15:55,201711171555,JET,2017/11/17,2017/11/17,1304,0.2,260,251
广州,CAN,昆明,KMG,中国南方航空(集团)公司,CZ3449,新白云国际机场,巫家坝国际机场,15:40,201712231540,18:00,201712231800,738,2017/12/23,2017/12/23,1260,0.4,240,232
广州,CAN,昆明,KMG,中国南方航空(集团)公司,CZ3489,新白云国际机场,巫家坝国际机场,17:40,201711281740,20:05,201711282005,757,2017/11/28,2017/11/28,2637,0.1,140,133
广州,CAN,昆明,KMG,中国南方航空(集团)公司,CZ3419,新白云国际机场,巫家坝国际机场,20:40,201712262040,22:45,201712262245,733,2017/12/26,2017/12/26,2333,0.3,280,272
广州,CAN,拉萨,LXA,中国南方航空(集团)公司,CZ3463,新白云国际机场,贡嘎机场,8:00,201712080800,13:15,201712081315,319,2017/12/08,2017/12/08,3277,0.1,140,131
广州,CAN,兰州,LHW,中国南方航空(集团)公司,CZ3205,新白云国际机场,中川机场,16:10,201711111610,18:55,201711111855,320,2017/11/11,2017/11/11,1954,0.13,100,90
广州,CAN,丽江,LJG,中国南方航空(集团)公司,CZ3487,新白云国际机场,丽江机场,11:55,201711291155,15:45,201711291545,733,2017/11/29,2017/11/29,3135,0.3,260,257
广州,CAN,连云港,LYG,中国南方航空(集团)公司,CZ3257,新白云国际机场,白塔阜机场,8:35,201711250835,12:00,201711251200,320,2017/11/25,2017/11/25,1672,0.2,150,145
广州,CAN,连云港,LYG,中国南方航空(集团)公司,CZ3635,新白云国际机场,白塔阜机场,8:35,201711180835,10:55,201711181055,320,2017/11/18,2017/11/18,2092,0,110,104
广州,CAN,临沂,LYI,中国国际航空公司,CA4672,新白云国际机场,临沂机场,20:50,201711142050,23:00,201711142300,738,2017/11/14,2017/11/14,2200,0,180,174
广州,CAN,柳州,LZH,中国南方航空(集团)公司,CZ3719,新白云国际机场,白莲机场,18:20,201712221820,19:35,201712221935,73G,2017/12/22,2017/12/22,1970,0.09,240,235
广州,CAN,泸州,LZO,中国国际航空公司,CA4340,新白云国际机场,兰田坝机场,8:05,201712300805,10:00,201712301000,73G,2017/12/30,2017/12/30,1456,0.4,140,135
广州,CAN,泸州,LZO,中国国际航空公司,CA4352,新白云国际机场,兰田坝机场,19:05,201712121905,21:00,201712122100,73G,2017/12/12,2017/12/12,2965,0.3,210,201
广州,CAN,洛阳,LYA,中国南方航空(集团)公司,CZ3363,新白云国际机场,北郊机场,8:15,201712300815,10:35,201712301035,ERJ,2017/12/30,2017/12/30,2611,0.5,250,241
广州,CAN,梅县,MXZ,中国南方航空(集团)公司,CZ3333,新白云国际机场,梅县机场,11:15,201712161115,12:10,201712161210,ERJ,2017/12/16,2017/12/16,2513,0.3,240,232
广州,CAN,梅县,MXZ,中国南方航空(集团)公司,CZ3333,新白云国际机场,梅县机场,11:15,201711241115,12:10,201711241210,ERJ,2017/11/24,2017/11/24,2075,0.3,140,135
广州,CAN,梅县,MXZ,中国南方航空(集团)公司,CZ3339,新白云国际机场,梅县机场,19:55,201711231955,21:00,201711232100,ERJ,2017/11/23,2017/11/23,2403,0.3,100,93
广州,CAN,梅县,MXZ,中国南方航空(集团)公司,CZ3339,新白云国际机场,梅县机场,19:55,201712111955,21:00,201712112100,ERJ,2017/12/11,2017/12/11,3187,0.2,270,263
广州,CAN,绵阳,MIG,中国南方航空(集团)公司,CZ3399,新白云国际机场,绵阳机场,15:45,201711201545,18:15,201711201815,319,2017/11/20,2017/11/20,3441,0.1,260,252
广州,CAN,牡丹江,MDG,中国南方航空(集团)公司,CZ3613,新白云国际机场,海浪机场,9:30,201711090930,15:25,201711091525,733,2017/11/09,2017/11/09,2255,0.39,240,233
广州,CAN,南昌,KHN,中国南方航空(集团)公司,CZ3539,新白云国际机场,昌北机场,8:10,201711040810,9:30,201711040930,73G,2017/11/04,2017/11/04,1802,0.3,260,255
广州,CAN,南昌,KHN,中国南方航空(集团)公司,CZ3545,新白云国际机场,昌北机场,19:35,201711201935,20:50,201711202050,73G,2017/11/20,2017/11/20,1896,0.1,230,220
广州,CAN,南昌,KHN,中国南方航空(集团)公司,CZ3625,新白云国际机场,昌北机场,14:50,201711091450,16:10,201711091610,319,2017/11/09,2017/11/09,1293,0.5,160,150
广州,CAN,南昌,KHN,中国南方航空(集团)公司,CZ3535,新白云国际机场,昌北机场,12:30,201712151230,13:55,201712151355,73G,2017/12/15,2017/12/15,3097,0.1,210,201
广州,CAN,南充,NAO,中国南方航空(集团)公司,CZ3429,新白云国际机场,南充机场,8:15,201712160815,10:40,201712161040,ERJ,2017/12/16,2017/12/16,2002,0,100,93
广州,CAN,南京,NKG,中国南方航空(集团)公司,CZ3513,新白云国际机场,禄口国际机场,8:30,201711070830,10:15,201711071015,JET,2017/11/07,2017/11/07,3074,0.3,170,166
广州,CAN,南京,NKG,中国南方航空(集团)公司,CZ3599,新白云国际机场,禄口国际机场,10:10,201711231010,12:05,201711231205,JET,2017/11/23,2017/11/23,2294,0.1,270,261
广州,CAN,南京,NKG,中国南方航空(集团)公司,CZ3821,新白云国际机场,禄口国际机场,13:10,201710311310,15:05,201710311505,319,2017/10/31,2017/10/31,2037,0.3,220,212
广州,CAN,南京,NKG,中国南方航空(集团)公司,CZ3507,新白云国际机场,禄口国际机场,16:10,201711141610,18:10,201711141810,321,2017/11/14,2017/11/14,2329,0.3,180,171
广州,CAN,南京,NKG,中国南方航空(集团)公司,CZ3697,新白云国际机场,禄口国际机场,18:15,201711181815,20:05,201711182005,321,2017/11/18,2017/11/18,2132,0.42,120,111
广州,CAN,南京,NKG,中国南方航空(集团)公司,CZ3871,新白云国际机场,禄口国际机场,21:10,201712032110,23:10,201712032310,320,2017/12/03,2017/12/03,1941,0.3,270,261
广州,CAN,南宁,NNG,中国南方航空(集团)公司,CZ3296,新白云国际机场,吴圩机场,9:45,201712060945,11:00,201712061100,738,2017/12/06,2017/12/06,2215,0.1,230,226
广州,CAN,南宁,NNG,中国南方航空(集团)公司,CZ3298,新白云国际机场,吴圩机场,9:50,201712260950,11:10,201712261110,73G,2017/12/26,2017/12/26,3064,0.25,300,291
广州,CAN,南宁,NNG,中国南方航空(集团)公司,CZ3307,新白云国际机场,吴圩机场,13:50,201712211350,15:00,201712211500,738,2017/12/21,2017/12/21,2458,0.1,280,273
广州,CAN,南宁,NNG,中国南方航空(集团)公司,CZ3294,新白云国际机场,吴圩机场,14:15,201711191415,15:35,201711191535,73G,2017/11/19,2017/11/19,2411,0.5,240,230
广州,CAN,南宁,NNG,中国南方航空(集团)公司,CZ3331,新白云国际机场,吴圩机场,16:15,201711211615,17:25,201711211725,319,2017/11/21,2017/11/21,2796,0.06,220,214
广州,CAN,南通,NTG,中国南方航空(集团)公司,CZ3267,新白云国际机场,兴东机场,8:45,201712180845,12:20,201712181220,320,2017/12/18,2017/12/18,1867,0.1,280,273
广州,CAN,南阳,NNY,中国南方航空(集团)公司,CZ3221,新白云国际机场,姜营机场,8:05,201711120805,10:10,201711121010,ERJ,2017/11/12,2017/11/12,3305,0.4,300,295
广州,CAN,南阳,NNY,中国南方航空(集团)公司,CZ3383,新白云国际机场,姜营机场,19:45,201711011945,21:55,201711012155,ERJ,2017/11/01,2017/11/01,2134,0.3,230,224
广州,CAN,宁波,NGB,中国南方航空(集团)公司,CZ3777,新白云国际机场,栎社机场,8:15,201711280815,10:15,201711281015,320,2017/11/28,2017/11/28,1481,0.3,110,106
广州,CAN,宁波,NGB,中国南方航空(集团)公司,CZ3607,新白云国际机场,栎社机场,10:20,201711281020,12:15,201711281215,738,2017/11/28,2017/11/28,2793,0.5,120,112
广州,CAN,宁波,NGB,中国南方航空(集团)公司,CZ3517,新白云国际机场,栎社机场,12:05,201712281205,14:00,201712281400,JET,2017/12/28,2017/12/28,2220,0.3,270,264
广州,CAN,宁波,NGB,中国南方航空(集团)公司,CZ3779,新白云国际机场,栎社机场,17:50,201711181750,19:40,201711181940,321,2017/11/18,2017/11/18,2939,0.1,200,197
广州,CAN,齐齐哈尔,NDG,中国南方航空(集团)公司,CZ3611,新白云国际机场,三家子机场,9:30,201712050930,15:25,201712051525,733,2017/12/05,2017/12/05,2582,0.2,170,164
广州,CAN,青岛,TAO,中国南方航空(集团)公司,CZ3533,新白云国际机场,流亭机场,9:05,201711080905,11:55,201711081155,JET,2017/11/08,2017/11/08,2321,0.18,150,143
广州,CAN,青岛,TAO,中国国际航空公司,CA4676,新白云国际机场,流亭机场,12:15,201712021215,15:00,201712021500,738,2017/12/02,2017/12/02,3423,0.1,260,252
广州,CAN,青岛,TAO,中国南方航空(集团)公司,CZ3573,新白云国际机场,流亭机场,14:10,201711171410,17:05,201711171705,738,2017/11/17,2017/11/17,2424,0.2,110,105
广州,CAN,青岛,TAO,中国国际航空公司,CA4672,新白云国际机场,流亭机场,20:50,201712172050,0:15,201712180015,738,2017/12/17,2017/12/18,2154,0.3,160,152
广州,CAN,三亚,SYX,中国南方航空(集团)公司,CZ6748,新白云国际机场,凤凰国际机场,7:55,201711130755,9:15,201711130915,321,2017/11/13,2017/11/13,2476,0.3,200,193
广州,CAN,三亚,SYX,中国南方航空(集团)公司,CZ6742,新白云国际机场,凤凰国际机场,9:35,201711250935,10:50,201711251050,320,2017/11/25,2017/11/25,3360,0.42,270,266
广州,CAN,三亚,SYX,中国南方航空(集团)公司,CZ6732,新白云国际机场,凤凰国际机场,11:10,201712151110,12:30,201712151230,320,2017/12/15,2017/12/15,1642,0.1,190,187
广州,CAN,三亚,SYX,中国南方航空(集团)公司,CZ6734,新白云国际机场,凤凰国际机场,13:00,201711261300,14:20,201711261420,733,2017/11/26,2017/11/26,2131,0.5,280,273
广州,CAN,三亚,SYX,中国南方航空(集团)公司,CZ6744,新白云国际机场,凤凰国际机场,23:55,201711292355,1:15,201711300115,320,2017/11/29,2017/11/30,2904,0.1,130,124
广州,CAN,三亚,SYX,中国南方航空(集团)公司,CZ6740,新白云国际机场,凤凰国际机场,19:45,201712191945,20:55,201712192055,320,2017/12/19,2017/12/19,3208,0.4,250,245
广州,CAN,三亚,SYX,中国南方航空(集团)公司,CZ6738,新白云国际机场,凤凰国际机场,14:40,201711161440,16:00,201711161600,320,2017/11/16,2017/11/16,1744,0.5,170,163
广州,CAN,三亚,SYX,中国南方航空(集团)公司,CZ6746,新白云国际机场,凤凰国际机场,18:55,201712081855,20:15,201712082015,319,2017/12/08,2017/12/08,2872,0.1,110,104
广州,CAN,三亚,SYX,中国南方航空(集团)公司,CZ6736,新白云国际机场,凤凰国际机场,22:00,201712172200,23:20,201712172320,320,2017/12/17,2017/12/17,2362,0.1,250,245
广州,CAN,厦门,XMN,中国南方航空(集团)公司,CZ396,新白云国际机场,高崎国际机场,12:50,201712101250,14:00,201712101400,319,2017/12/10,2017/12/10,3228,0.5,270,266
广州,CAN,厦门,XMN,中国南方航空(集团)公司,CZ3879,新白云国际机场,高崎国际机场,13:00,201711281300,14:00,201711281400,JET,2017/11/28,2017/11/28,2510,0.4,180,170
广州,CAN,厦门,XMN,中国南方航空(集团)公司,CZ3807,新白云国际机场,高崎国际机场,14:35,201711201435,15:45,201711201545,319,2017/11/20,2017/11/20,2919,0.4,290,287
广州,CAN,厦门,XMN,中国南方航空(集团)公司,CZ3805,新白云国际机场,高崎国际机场,20:05,201712122005,21:05,201712122105,319,2017/12/12,2017/12/12,2348,0.4,230,220
广州,CAN,汕头,SWA,中国南方航空(集团)公司,CZ3892,新白云国际机场,外砂机场,8:35,201712240835,9:20,201712240920,733,2017/12/24,2017/12/24,1278,0.1,180,172
广州,CAN,汕头,SWA,中国南方航空(集团)公司,CZ3894,新白云国际机场,外砂机场,10:30,201711181030,11:20,201711181120,733,2017/11/18,2017/11/18,1613,0.2,180,175
广州,CAN,汕头,SWA,中国南方航空(集团)公司,CZ3888,新白云国际机场,外砂机场,13:50,201711101350,14:30,201711101430,733,2017/11/10,2017/11/10,1906,0.2,120,115
广州,CAN,汕头,SWA,中国南方航空(集团)公司,CZ3582,新白云国际机场,外砂机场,14:40,201711291440,15:40,201711291540,733,2017/11/29,2017/11/29,1651,0.4,190,187
广州,CAN,汕头,SWA,中国南方航空(集团)公司,CZ3858,新白云国际机场,外砂机场,16:35,201711251635,17:20,201711251720,733,2017/11/25,2017/11/25,3017,0.2,180,176
广州,CAN,汕头,SWA,中国南方航空(集团)公司,CZ3896,新白云国际机场,外砂机场,18:05,201712291805,19:00,201712291900,733,2017/12/29,2017/12/29,2856,0.36,200,192
广州,CAN,汕头,SWA,中国南方航空(集团)公司,CZ3898,新白云国际机场,外砂机场,22:30,201711282230,23:30,201711282330,738,2017/11/28,2017/11/28,2889,0.3,120,113
广州,CAN,上海,SHA,上海航空公司,FM5306,新白云国际机场,虹桥国际机场,21:30,201712102130,23:35,201712102335,AB6,2017/12/10,2017/12/10,3513,0.1,210,201
广州,CAN,上海,SHA,中国南方航空(集团)公司,CZ3537,新白云国际机场,虹桥国际机场,11:30,201711191130,13:40,201711191340,757,2017/11/19,2017/11/19,3003,0.2,100,90
广州,CAN,上海,SHA,上海航空公司,FM5302,新白云国际机场,虹桥国际机场,15:25,201711071525,17:35,201711071735,AB6,2017/11/07,2017/11/07,2462,0.1,300,294
广州,CAN,上海,SHA,中国国际航空公司,CA1838,新白云国际机场,虹桥国际机场,12:55,201712301255,14:55,201712301455,JET,2017/12/30,2017/12/30,2401,0.2,290,286
广州,CAN,上海,SHA,上海航空公司,FM5312,新白云国际机场,虹桥国际机场,16:30,201711061630,18:35,201711061835,733,2017/11/06,2017/11/06,2727,0.49,170,160
广州,CAN,上海,SHA,中国南方航空(集团)公司,CZ3523,新白云国际机场,虹桥国际机场,8:30,201711010830,10:30,201711011030,333,2017/11/01,2017/11/01,1766,0,230,226
广州,CAN,上海,SHA,中国南方航空(集团)公司,CZ3503,新白云国际机场,虹桥国际机场,16:30,201712131630,18:30,201712131830,333,2017/12/13,2017/12/13,3898,0.1,110,106
广州,CAN,上海,SHA,上海航空公司,FM5304,新白云国际机场,虹桥国际机场,10:30,201712161030,12:35,201712161235,733,2017/12/16,2017/12/16,3451,0.49,230,221
广州,CAN,上海,SHA,上海航空公司,FM5308,新白云国际机场,虹桥国际机场,19:30,201712131930,21:35,201712132135,AB6,2017/12/13,2017/12/13,2798,0,100,90
广州,CAN,上海,SHA,中国南方航空(集团)公司,CZ3547,新白云国际机场,虹桥国际机场,19:30,201711221930,21:30,201711222130,JET,2017/11/22,2017/11/22,2763,0.36,160,150
广州,CAN,上海,SHA,中国南方航空(集团)公司,CZ3595,新白云国际机场,虹桥国际机场,20:30,201712032030,22:35,201712032235,JET,2017/12/03,2017/12/03,3070,0.41,300,291
广州,CAN,上海,SHA,中国南方航空(集团)公司,CZ3531,新白云国际机场,虹桥国际机场,10:30,201711231030,12:30,201711231230,JET,2017/11/23,2017/11/23,2162,0.5,280,273
广州,CAN,上海,SHA,上海航空公司,FM5310,新白云国际机场,虹桥国际机场,13:30,201712171330,15:35,201712171535,333,2017/12/17,2017/12/17,2255,0.4,160,156
广州,CAN,上海,SHA,中国南方航空(集团)公司,CZ3525,新白云国际机场,虹桥国际机场,13:30,201712211330,15:35,201712211535,332,2017/12/21,2017/12/21,3695,0.4,130,125
广州,CAN,上海,SHA,中国南方航空(集团)公司,CZ3613,新白云国际机场,浦东国际机场,9:30,201712130930,11:50,201712131150,733,2017/12/13,2017/12/13,3007,0.3,210,205
广州,CAN,上海,SHA,中国南方航空(集团)公司,CZ3611,新白云国际机场,浦东国际机场,9:30,201711110930,11:50,201711111150,733,2017/11/11,2017/11/11,3319,0,270,261
广州,CAN,上海,SHA,中国南方航空(集团)公司,CZ3609,新白云国际机场,浦东国际机场,9:30,201711110930,11:50,201711111150,733,2017/11/11,2017/11/11,2800,0.2,220,217
广州,CAN,上海,SHA,中国南方航空(集团)公司,CZ379,新白云国际机场,浦东国际机场,14:30,201711251430,17:00,201711251700,320,2017/11/25,2017/11/25,1652,0.1,150,143
广州,CAN,沈阳,SHE,中国南方航空(集团)公司,CZ3601,新白云国际机场,桃仙机场,9:05,201711150905,12:30,201711151230,321,2017/11/15,2017/11/15,3383,0.4,110,100
广州,CAN,沈阳,SHE,中国南方航空(集团)公司,CZ352,新白云国际机场,桃仙机场,13:20,201712231320,16:35,201712231635,321,2017/12/23,2017/12/23,1146,0.3,170,167
广州,CAN,沈阳,SHE,中国南方航空(集团)公司,CZ6302,新白云国际机场,桃仙机场,19:10,201711131910,23:50,201711132350,321,2017/11/13,2017/11/13,2057,0.1,220,213
广州,CAN,石家庄,SJW,中国南方航空(集团)公司,CZ3131,新白云国际机场,正定国际机场,8:25,201712290825,11:05,201712291105,319,2017/12/29,2017/12/29,2845,0,190,182
广州,CAN,太原,TYN,中国南方航空(集团)公司,CZ3701,新白云国际机场,太原武宿机场,8:40,201711040840,11:10,201711041110,JET,2017/11/04,2017/11/04,2796,0.1,290,287
广州,CAN,太原,TYN,中国南方航空(集团)公司,CZ3529,新白云国际机场,太原武宿机场,12:10,201712041210,14:40,201712041440,JET,2017/12/04,2017/12/04,2784,0.35,230,222
广州,CAN,太原,TYN,中国南方航空(集团)公司,CZ3695,新白云国际机场,太原武宿机场,14:30,201711181430,17:10,201711181710,321,2017/11/18,2017/11/18,3627,0.1,160,151
广州,CAN,太原,TYN,中国南方航空(集团)公司,CZ3703,新白云国际机场,太原武宿机场,16:10,201711181610,18:40,201711181840,JET,2017/11/18,2017/11/18,2126,0.3,120,116
广州,CAN,天津,TSN,中国国际航空公司,CA1388,新白云国际机场,滨海国际机场,19:10,201711291910,22:05,201711292205,JET,2017/11/29,2017/11/29,3844,0.4,270,266
广州,CAN,天津,TSN,中国南方航空(集团)公司,CZ3135,新白云国际机场,滨海国际机场,16:05,201711261605,18:50,201711261850,73G,2017/11/26,2017/11/26,2291,0.1,100,93
广州,CAN,天津,TSN,中国国际航空公司,CA1318,新白云国际机场,滨海国际机场,11:50,201711011150,14:40,201711011440,JET,2017/11/01,2017/11/01,3084,0.4,270,261
广州,CAN,天津,TSN,中国南方航空(集团)公司,CZ3133,新白云国际机场,滨海国际机场,8:25,201712110825,11:15,201712111115,JET,2017/12/11,2017/12/11,1660,0.31,280,271
广州,CAN,天津,TSN,中国南方航空(集团)公司,CZ3301,新白云国际机场,滨海国际机场,9:50,201712140950,12:55,201712141255,757,2017/12/14,2017/12/14,2248,0.2,120,117
广州,CAN,天津,TSN,中国南方航空(集团)公司,CZ3157,新白云国际机场,滨海国际机场,10:55,201712091055,15:00,201712091500,733,2017/12/09,2017/12/09,3231,0.3,250,245
广州,CAN,铜仁,TEN,中国南方航空(集团)公司,CZ3245,新白云国际机场,铜仁机场,11:15,201712181115,12:50,201712181250,ERJ,2017/12/18,2017/12/18,1721,0.3,170,164
广州,CAN,万州,WXN,中国国际航空公司,CA4336,新白云国际机场,万州机场,14:05,201712051405,15:55,201712051555,73G,2017/12/05,2017/12/05,2761,0.3,180,171
广州,CAN,威海,WEH,中国南方航空(集团)公司,CZ3787,新白云国际机场,大水泊机场,10:20,201712161020,13:20,201712161320,JET,2017/12/16,2017/12/16,2965,0.3,150,142
广州,CAN,温州,WNZ,中国国际航空公司,CA1861,新白云国际机场,永强机场,7:55,201711290755,9:30,201711290930,73G,2017/11/29,2017/11/29,3001,0.1,280,276
广州,CAN,温州,WNZ,中国南方航空(集团)公司,CZ3811,新白云国际机场,永强机场,8:20,201712300820,9:55,201712300955,757,2017/12/30,2017/12/30,3348,0.2,140,131
广州,CAN,温州,WNZ,中国南方航空(集团)公司,CZ3527,新白云国际机场,永强机场,14:55,201711081455,16:20,201711081620,320,2017/11/08,2017/11/08,3125,0.32,250,246
广州,CAN,温州,WNZ,中国南方航空(集团)公司,CZ3809,新白云国际机场,永强机场,17:10,201711171710,18:30,201711171830,73G,2017/11/17,2017/11/17,1009,0.4,140,136
广州,CAN,温州,WNZ,中国南方航空(集团)公司,CZ6302,新白云国际机场,永强机场,19:10,201711061910,20:40,201711062040,321,2017/11/06,2017/11/06,2646,0.5,170,162
广州,CAN,乌鲁木齐,URC,中国南方航空(集团)公司,CZ6886,新白云国际机场,地窝堡国际机场,8:15,201711210815,13:25,201711211325,757,2017/11/21,2017/11/21,2921,0.3,220,214
广州,CAN,乌鲁木齐,URC,中国南方航空(集团)公司,CZ6888,新白云国际机场,地窝堡国际机场,15:25,201712041525,20:40,201712042040,JET,2017/12/04,2017/12/04,3556,0.1,290,285
广州,CAN,无锡,WUX,中国南方航空(集团)公司,CZ3917,新白云国际机场,硕放机场,17:20,201711031720,19:15,201711031915,321,2017/11/03,2017/11/03,2474,0.4,140,131
广州,CAN,梧州,WUZ,中国南方航空(集团)公司,CZ6189,新白云国际机场,长洲机场,9:30,201712250930,10:15,201712251015,ERJ,2017/12/25,2017/12/25,1660,0.15,230,220
广州,CAN,武汉,WUH,中国南方航空(集团)公司,CZ6589,新白云国际机场,天河机场,7:40,201712070740,9:15,201712070915,73G,2017/12/07,2017/12/07,3457,0.06,100,91
广州,CAN,武汉,WUH,中国南方航空(集团)公司,CZ3350,新白云国际机场,天河机场,9:30,201711020930,11:00,201711021100,738,2017/11/02,2017/11/02,2480,0.5,200,192
